w,i_vggish,i_spectrum,i_speechvgg,mark_speechvgg,mark_vggish,mark_spectrum,ico_2017,ico_2022,length,iconicity_mean,humor,sensory,sensory_sound,sensory_d2,conc,freq,cd,aoa
jet,0.5720506906509399,-0.6643612384796143,-0.1679131666574891,0.32256941863630184,0.84024024,0.79132515,0.833333333,3.9,3,-0.08674123816205448,2.068965517,2.45,3.722,4.33,4.77,2.8585,413,5.39
beep,0.5717822313308716,0.59017014503479,0.0781941919564608,0.2634997555095071,0.8681794,0.6797942,4.357142857,6.0,4,0.4133821894407075,2.615384615,,4.765,,4.0,2.5224,209,5.32
knock,0.5692592859268188,0.6888402700424194,0.0806196224362957,0.3415588383303188,0.8669128,0.81509477,3.0625,,5,0.44623972613517804,2.648648649,,3.824,3.64,4.24,3.5185,2088,4.63
gunfire,0.567209005355835,0.6398386359214783,-0.1410356600104,0.268716083859525,0.87259644,0.8237887,,4.1,7,0.35533732708897103,,,4.368,,4.66,2.4265,160,7.52
donkey,0.5664438605308533,-0.3570473194122314,-0.2410395214818791,0.33655760958574643,0.88699234,0.85389173,0.842105263,3.7,6,-0.01054766012108573,3.315789474,1.72,3.6,3.8,5.0,2.4378,162,6.0
expletive,0.5656481385231018,-0.3436795771121979,0.0377828164909651,0.32681424384065144,0.8483571,0.78677857,,3.8,9,0.08658379263395634,,,3.938,,2.35,1.1461,5,12.85
men,0.5647578239440918,-0.3953097760677337,-0.1886906443978624,0.3559969271695009,0.8798336,0.80330235,,4.3,3,-0.006414198840501428,,,3.706,2.6,4.75,4.279,4996,
hush,0.5634207725524902,-0.483671486377716,-0.206477304811627,0.3181298969368083,0.8461609,0.8454541,2.230769231,5.8,4,-0.04224267287895093,,,3.829,2.58,3.04,2.5899,274,4.44
mantra,0.5628404021263123,-0.3063004612922668,-0.109900682650222,0.3632105102844529,0.83144283,0.84998524,,,6,0.04887975272794115,,,3.706,2.82,2.73,1.6435,27,13.74
shout,0.5621312260627747,0.2365856319665908,-0.0525889857018734,0.4013615872957216,0.86362606,0.8100438,,5.0,5,0.24870929077583068,,,4.111,3.36,4.17,2.9243,461,4.72
cracking,0.5617749094963074,0.1469197124242782,-0.0315239921804735,0.15384658210405322,0.85301507,0.8545457,,,8,0.22572354324670404,,,4.316,,3.8,2.4829,261,
dog,0.5594825148582458,0.846733570098877,0.1002235116725756,0.32082143368652727,0.8585902,0.77985686,1.272727273,2.5,3,0.5021465322098995,,1.94,4.118,3.9,4.85,3.9928,3049,2.8
audio,0.5583338141441345,-0.2691831588745117,-0.2186839078765306,0.24009954634584202,0.83027506,0.83509016,,3.3,5,0.023488915797697407,,,4.944,,3.5,2.4548,188,9.32
profanity,0.557514488697052,-0.3461151719093323,0.0614628070521146,0.3079954963482892,0.82364166,0.7390537,,3.0,9,0.09095404127994478,,,4.4,,3.04,1.5798,34,10.58
flatulence,0.5564900040626526,0.7161257266998291,-0.1005323574441951,0.27343483831049176,0.85830164,0.6975482,,,10,0.39069445777276224,,,3.867,,3.88,1.4624,21,13.5
son,0.5559534430503845,-0.3803717195987701,-0.1642736814645467,0.346366520305824,0.8485011,0.82973635,,3.4,3,0.0037693473290225654,,,3.75,2.36,4.14,4.3212,5145,3.78
rattling,0.5525082945823669,0.4143953621387481,-0.0043734995683153,0.4304057257908181,0.8641846,0.8405291,,6.0,8,0.3208433857175999,,,4.714,,3.66,2.1614,104,
refusal,0.5517186522483826,-0.2742444276809692,-0.2751647038073814,0.3359234771904161,0.86932725,0.8481254,,2.5,7,0.0007698402533439971,,,3.75,,2.81,1.8261,62,8.37
knocking,0.5514107942581177,0.1455399990081787,-0.1136804422612131,0.403528985946346,0.77422345,0.86098236,,,8,0.19442345033502775,,,4.706,,4.29,2.8808,566,
humming,0.5512558817863464,-0.4744117558002472,-0.2669811735736518,0.3416271930907915,0.84061855,0.859461,4.466666667,5.909090909090909,7,-0.06337901586251753,,,4.529,,4.17,2.4014,174,
telephone,0.5497033596038818,0.1250501871109008,-0.1355229272499042,0.39994853560778204,0.8691594,0.790307,-0.3,,9,0.17974353982162614,,-0.33,4.15,,4.96,3.218,984,4.63
outside,0.549503743648529,0.0029841437935829,-0.2025716087958445,0.2511677395263101,0.85123086,0.8093908,,3.9,7,0.11663875954875581,,,3.579,,4.25,3.9381,4429,3.58
firecracker,0.5482528209686279,0.2209890484809875,-0.0543187515866312,0.22727149990037745,0.8565239,0.5328581,,,11,0.23830770595432807,,,4.4,,4.68,1.7404,50,5.56
recording,0.5442823171615601,0.7039200663566589,0.1311526458199983,0.35477482510667724,0.83316964,0.8266199,,3.8,9,0.4597850097794058,,,3.9,,3.68,2.8745,371,7.0
comedy,0.5410319566726685,0.8332579731941223,0.0661605060836413,0.3707239745983257,0.8873725,0.8606843,1.0,4.5,6,0.48015014531681066,,,4.053,,3.1,2.7803,322,8.11
gun,0.5384845733642578,0.0186338350176811,0.0157484764488207,0.2737697720155203,0.85780835,0.7276247,0.5,3.8,3,0.1909556282769199,1.44,1.31,3.7,3.36,4.83,4.0364,2976,5.58
silent,0.5377311110496521,-0.5626258850097656,-0.1177435308328634,0.39974800101108426,0.85543376,0.8497574,-2.166666667,3.6,6,-0.047546101597658964,1.911764706,,4.0,3.55,3.67,3.0697,785,4.42
stereo,0.5372500419616699,-0.1802338510751724,-0.1812456403473547,0.29252460582456064,0.8966321,0.7841528,1.3,3.2,6,0.0585901835130476,,0.35,4.167,,4.63,2.4843,216,5.95
ding,0.5362107753753662,0.8730173110961914,0.0990088207649566,0.289708256227572,0.8827412,0.74085253,,6.2,4,0.5027456357455048,,,4.647,,3.65,2.4886,131,
sport,0.5332773327827454,0.7023810148239136,0.0333291980373027,0.31587151978056227,0.8642961,0.83332115,1.384615385,3.3,5,0.4229958485479872,2.233333333,,4.0,3.0,3.48,3.0069,665,5.74
amplifier,0.531659722328186,-0.1604376435279846,-0.3509488505013036,0.2794576170067069,0.8679284,0.6268796,2.0,3.6,9,0.006757742766299295,,,4.176,,4.79,1.2304,15,11.35
shooting,0.5309615731239319,0.2167977392673492,-0.0048234277927529,0.3343569516809355,0.85489583,0.8568043,,,8,0.24764529486617604,,,3.688,,3.85,3.4582,1552,
growling,0.5297742486000061,0.8698470592498779,-0.0630823128041498,0.40406788954828116,0.885046,0.8666013,2.642857143,,8,0.4455129983485781,,,4.667,,3.82,2.3636,89,
me,0.5296079516410828,0.1386678218841552,-0.0182148407195996,0.35025052838388765,0.8829883,0.8050754,0.6,4.9,2,0.21668697760187947,,,3.973,2.33,4.33,5.6733,8355,3.28
pleading,0.529371976852417,0.3463820219039917,-0.0589105977101154,0.45211790602924634,0.84794754,0.8125465,,4.2,8,0.2722811336820978,,,4.15,,2.6,2.0682,102,
muffled,0.5284055471420288,0.7780629396438599,-0.0054462432815819,0.3536914531662343,0.8700377,0.8599105,3.0,,7,0.4336740811681022,,,4.2,,3.04,2.1987,104,9.06
noisy,0.5236113667488098,-0.1690765768289566,-0.1151178084282718,0.38230446618960007,0.8679424,0.8605177,1.4,,5,0.0798056604971938,,,4.752,,3.56,2.4116,221,5.33
city,0.522990345954895,-0.5860718488693237,-0.2801596279382192,0.3560146586471455,0.8045172,0.81385547,-0.285714286,,4,-0.11441371028421599,2.0625,,4.118,4.2,4.79,3.9358,3321,6.56
real,0.5221144556999207,0.7023990154266357,0.1097721495465301,0.33801961870453623,0.88799614,0.80838966,0.923076923,,4,0.44476187355769553,,,3.818,,2.5,4.3538,6453,4.95
cooing,0.5215634107589722,-0.4400181770324707,-0.1581859478783706,0.4202406550947873,0.8460309,0.85815877,4.076923077,,6,-0.02554690471728971,,,3.818,,3.82,1.3979,19,
bark,0.5202414393424988,0.8366402983665466,0.1387326598751001,0.3503766871100076,0.877839,0.7710443,-0.066666667,6.1,4,0.49853813252804846,2.676470588,,4.056,4.64,4.52,2.4487,207,5.17
accent,0.5187411904335022,-0.2943519949913025,-0.332808142802048,0.3234134123427362,0.8963633,0.82296944,,,6,-0.036139649119949414,2.352941176,,4.053,4.27,3.26,2.7938,447,8.6
whistle,0.5187013745307922,0.479250818490982,0.1180837662312882,0.3331862947892052,0.83939785,0.84513545,2.153846154,,7,0.37201198641768746,,-0.12,4.875,4.18,4.42,2.8971,473,5.42
jingling,0.5164595246315002,0.3067309856414795,0.0278762283635537,0.4080971783510093,0.8566621,0.85979885,2.916666667,,8,0.28368891287884446,,,4.684,,3.38,1.5798,31,
call,0.5155764818191528,0.1083972826600074,-0.140404565338223,0.2791775848435338,0.8878224,0.80707085,0.416666667,,4,0.16118973304697906,2.0,,4.55,2.64,4.0,4.6428,7556,4.74
feedback,0.5153762698173523,-0.0053795021958649,-0.2639390853560185,0.38068402365782605,0.89757466,0.81469214,,2.5,8,0.08201922742182295,1.96969697,,4.053,,2.48,2.1492,101,10.7
typewriter,0.5144171118736267,0.5302656888961792,-0.0549664352672162,0.3685731891080111,0.85408574,0.7481775,1.818181818,,10,0.3299054551675299,,0.33,3.611,,4.88,2.2095,92,6.74
fireworks,0.5143757462501526,0.0361966118216514,-0.1604981397231813,0.25874096918017375,0.82642084,0.669217,1.9,,9,0.13002473944954088,2.294117647,,4.588,,4.86,2.4594,174,4.95
horn,0.5142919421195984,-0.2127126008272171,0.0214499112644574,0.2730242395627242,0.8162465,0.8499835,1.3,3.8,4,0.10767641751894623,2.627906977,,3.882,4.42,5.0,3.0318,586,4.84
automobile,0.5135133266448975,-0.0422800369560718,-0.1903148208587915,0.23167567174214135,0.84772277,0.74535054,,4.4,10,0.09363948961001138,,,3.706,,4.96,2.4654,193,7.11
